1,2,3,4,5
0.118304,0.118304,0.117746,0.117746,0.092428
0.117188,0.117188,0.116629,0.116629,0.091552
0.114955,0.114955,0.113839,0.113839,0.089362
0.116629,0.117188,0.116629,0.116629,0.091552
0.121652,0.122768,0.121652,0.121652,0.095495
0.114955,0.114955,0.114397,0.114397,0.0898
0.108817,0.108817,0.108259,0.108259,0.084981
0.109933,0.110491,0.109933,0.109933,0.086295
0.107143,0.107143,0.106027,0.106027,0.083229
0.112723,0.113281,0.112723,0.112723,0.088485
0.114397,0.114955,0.114397,0.114397,0.0898
0.118304,0.11942,0.118304,0.118304,0.092866
0.118862,0.11942,0.118862,0.118862,0.093304
0.117746,0.117746,0.117188,0.117188,0.09199
0.116629,0.116629,0.116071,0.116071,0.091114
0.116071,0.116071,0.115513,0.115513,0.090676
0.115513,0.115513,0.114397,0.114397,0.0898
0.106027,0.106027,0.105469,0.105469,0.082791
0.101004,0.101004,0.100446,0.100446,0.078848
0.097656,0.097656,0.09654,0.09654,0.075782
0.100446,0.101004,0.100446,0.100446,0.078848
0.099888,0.099888,0.09933,0.09933,0.077972
0.103237,0.104353,0.103237,0.103237,0.081039
0.108259,0.109375,0.108259,0.108259,0.084981
0.114955,0.116071,0.114955,0.114955,0.090238
0.114397,0.114397,0.113839,0.113839,0.089362
0.114955,0.116071,0.114955,0.114955,0.090238
0.11942,0.120536,0.11942,0.11942,0.093742
0.11942,0.11942,0.118862,0.118862,0.093304
0.117746,0.117746,0.116629,0.116629,0.091552
0.114955,0.114955,0.114397,0.114397,0.0898
0.111049,0.111049,0.110491,0.110491,0.086733
0.110491,0.111607,0.110491,0.110491,0.086733
0.110491,0.110491,0.109375,0.109375,0.085857
0.108817,0.108817,0.108259,0.108259,0.084981
0.117746,0.118304,0.117746,0.117746,0.092428
0.118304,0.118862,0.118304,0.118304,0.092866
0.116629,0.116629,0.116071,0.116071,0.091114
0.115513,0.115513,0.114955,0.114955,0.090238
0.120536,0.121652,0.120536,0.120536,0.094618
0.122768,0.123326,0.122768,0.122768,0.096371
0.124442,0.125,0.124442,0.124442,0.097685
0.124442,0.125,0.124442,0.124442,0.097685
0.124442,0.125,0.124442,0.124442,0.097685
0.118862,0.118862,0.118304,0.118304,0.092866
0.112165,0.112165,0.111607,0.111607,0.087609
